track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Rollin' (Air Raid Vehicle),0.603,0.933,1.0,-3.358,1.0,0.171,0.00591,0.03046073657362849,0.206,0.709,96.306,4.0
Angel,0.74,0.766,6.0,-2.939,1.0,0.178,0.116,0.03046073657362849,0.0406,0.807,170.531,4.0
One More Time,0.613,0.697,2.0,-8.618,1.0,0.133,0.0194,0.03046073657362849,0.332,0.476,122.746,4.0
Ride Wit Me,0.85,0.7,7.0,-6.49,1.0,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,4.0
In Too Deep,0.568,0.844,9.0,-5.875,1.0,0.0505,0.000189,0.03046073657362849,0.0607,0.766,116.046,4.0
Let Me Blow Ya Mind,0.908,0.557,8.0,-4.243,1.0,0.107,0.242,0.03046073657362849,0.0709,0.897,90.032,4.0
Smooth Criminal,0.653,0.964,9.0,-4.261,1.0,0.0582,0.00316,0.00512,0.144,0.87,126.928,4.0
Fallin',0.652,0.609,11.0,-7.519,1.0,0.037,0.263,0.00101,0.233,0.482,95.986,3.0
Thank You,0.725,0.583,1.0,-9.942,1.0,0.0427,0.3,0.000238,0.0665,0.762,79.984,4.0
Your Body Is a Wonderland,0.647,0.729,5.0,-6.251,1.0,0.0236,0.0206,0.0489,0.134,0.687,94.01,4.0
Butterfly,0.736,0.811,9.0,-4.17,1.0,0.081,0.00132,0.000142,0.107,0.609,103.502,4.0
U Remind Me,0.657,0.629,6.0,-4.938,1.0,0.0782,0.194,0.03046073657362849,0.254,0.726,93.985,4.0
Fat Lip,0.402,0.914,9.0,-5.215,1.0,0.142,0.000579,0.03046073657362849,0.065,0.626,196.505,4.0
Follow Me,0.817,0.585,5.0,-4.688,1.0,0.0301,0.439,0.03046073657362849,0.147,0.916,105.014,4.0
Only Time,0.418,0.249,3.0,-13.744,1.0,0.0301,0.841,0.661,0.112,0.213,82.803,4.0
Youth of the Nation,0.563,0.86,8.0,-7.533,1.0,0.0621,0.00834,0.0106,0.39,0.517,97.867,4.0
Clint Eastwood,0.663,0.694,10.0,-8.627,1.0,0.171,0.0253,0.03046073657362849,0.0698,0.525,167.953,4.0
Again,0.55,0.804,2.0,-5.218,1.0,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,4.0
I'm a Slave 4 U,0.847,0.843,5.0,-3.579,1.0,0.106,0.415,0.000134,0.107,0.963,110.027,4.0
Get Ur Freak On,0.797,0.75,5.930596285434995,-9.369,1.0,0.247,0.533,0.108,0.095,0.74,177.87,4.0
It's Been Awhile,0.509,0.774,6.0,-4.054,1.0,0.0338,0.00189,0.000549,0.143,0.0824,116.529,4.0
Hit 'Em Up Style (Oops!),0.667,0.773,5.0,-4.983,1.0,0.0586,0.201,0.03046073657362849,0.404,0.667,89.976,4.0
You Rock My World,0.854,0.673,4.0,-3.132,1.0,0.185,0.038,0.000227,0.255,0.955,95.0,4.0
Out Of Reach,0.51,0.48,11.0,-6.567,1.0,0.0452,0.503,0.03046073657362849,0.106,0.496,182.862,4.0
Sing,0.33,0.905,4.0,-5.047,1.0,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142,4.0
Superman (It's Not Easy),0.382,0.416,5.930596285434995,-9.303,1.0,0.0302,0.0733,0.03046073657362849,0.0719,0.125,102.089,4.0
Differences,0.562,0.594,3.0,-4.578,1.0,0.0558,0.318,0.03046073657362849,0.311,0.423,62.876,4.0
Hanging By A Moment,0.541,0.864,1.0,-4.915,1.0,0.0357,0.00118,0.03046073657362849,0.0896,0.435,124.557,4.0
Love Don't Cost a Thing,0.786,0.842,4.0,-5.115,1.0,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,4.0
Last Nite,0.624,0.899,5.930596285434995,-5.709,1.0,0.0296,0.0221,0.000137,0.0975,0.79,104.061,4.0
Because I Got High,0.802,0.341,7.0,-8.56,1.0,0.488,0.169,0.03046073657362849,0.0783,0.849,166.01,4.0
Uptown Girl - Radio Edit,0.645,0.921,6.0,-5.256,1.0,0.0302,0.00809,1.08e-05,0.407,0.864,129.0,4.0
